Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2020-07-24,2006.10107421875,2011.308436058216,1976.0664604180097,2003.4045425277054,3665100
2020-07-27,2052.035888671875,2059.6607725388935,2011.772497240585,2013.167301375487,4248480
2020-07-28,2147.7666015625,2157.2977662625826,2059.661444944664,2059.661444944664,8092319
2020-07-29,2116.429931640625,2177.7547916639182,2088.533841226484,2131.2613076403504,6090431
2020-07-30,2119.63818359375,2192.6329620153815,2112.8966276248734,2125.5892594345414,7098496
2020-07-31,2121.404541015625,2171.0597168252116,2099.1342081726534,2141.6292060205146,4723290
2020-08-03,2096.0654296875,2142.2801295772156,2074.260033370192,2129.8197409537956,4012337
2020-08-04,2091.927734375,2110.4785887385488,2069.0065380013834,2101.4588984158645,2927928
2020-08-05,2101.0400390625,2138.6997520884047,2094.9958875892066,2101.504973791215,3800641
2020-08-06,2146.232177734375,2156.832600678783,2106.480251164417,2115.453402260932,4748047
2020-08-07,2134.3759765625,2164.736123919005,2126.6114756884726,2146.1387345382573,3165491
2020-08-10,2122.70654296875,2161.9469979141954,2116.429922652225,2155.43791017854,2929353
2020-08-11,2120.010009765625,2149.8589203584743,2116.011751347277,2122.892696876469,2774423
2020-08-12,2099.04150390625,2135.3527348684297,2088.9988655233133,2127.867465235268,3415751
2020-08-13,2096.344482421875,2138.700088269435,2092.671542891462,2113.593608972359,2695682
2020-08-14,2084.90673828125,2121.3112641894636,2076.4916012052786,2117.3127800705715,2270405
2020-08-17,2095.368408203125,2110.804336892842,2081.2809722689003,2104.2952486292957,2625630
2020-08-18,2110.571533203125,2128.471523076089,2090.6258756056113,2104.1089848605716,3493374
2020-08-19,2098.34423828125,2124.3805921451435,2094.5316813721556,2116.7091664531035,2843005
2020-08-20,2094.85693359375,2116.8947989137228,2082.9545566598244,2098.715801836953,2895164
2020-08-21,2090.905029296875,2111.7340190826194,2083.8844678895275,2101.505452719824,1975294
2020-08-24,2090.43994140625,2101.4587599698457,2073.609210815817,2092.764615409407,2167966
2020-08-25,2085.371826171875,2092.206458075828,2076.9101495972373,2087.5571103912152,1663419
2020-08-26,2095.461669921875,2101.412746049042,2061.0099471847684,2084.7681668359633,2618149
2020-08-27,2090.718994140625,2126.9376014624113,2084.5354512909894,2107.084792071097,3579393
2020-08-28,2081.559814453125,2120.056328339936,2078.351809465718,2109.3162881482135,2941136
2020-08-31,2098.947998046875,2116.568980248799,2071.749314275529,2082.9077486432607,6018154
2020-09-01,2088.812744140625,2118.2430272631927,2084.1168570828927,2109.8742005531976,3610908
2020-09-02,2106.293701171875,2109.64132201106,2084.4417690210166,2089.41666140335,2084137
2020-09-03,2138.235107421875,2161.0169122193684,2108.9442155393835,2108.9442155393835,4654146
2020-09-04,2128.28564453125,2161.249477355819,2104.2484239012974,2115.4533982938533,5231303
2020-09-07,2163.85302734375,2179.1493363598984,2123.2177725559745,2128.471444816645,4620401
2020-09-08,2183.52001953125,2222.8070149930954,2163.85336586504,2172.1291155216027,7453998
2020-09-09,2164.4111328125,2193.5626389361755,2157.297720361139,2161.9470688964,3866535
2020-09-10,2167.66552734375,2183.798856456429,2161.2960565009503,2171.2456162766707,2308813
2020-09-11,2207.603759765625,2215.8795093412245,2166.735804572795,2167.4797457413706,4145424
2020-09-14,2316.677001953125,2330.0207213555145,2214.809970149344,2216.9021767234435,7512131
2020-09-15,2316.677001953125,2360.0090155842745,2291.7566785967824,2316.677001953125,7318770
2020-09-16,2327.463623046875,2331.7411140406366,2303.566019584382,2314.398909683114,3074003
2020-09-17,2288.363037109375,2320.722551527765,2278.7390208983284,2306.0771021892647,4828176
2020-09-18,2278.087890625,2325.0463146677553,2265.5346485541645,2310.7264108167687,4183256
2020-09-21,2292.40673828125,2329.2294248655144,2280.178821267864,2292.127732098723,4598809
2020-09-22,2346.01416015625,2375.8165224066606,2285.6191828084434,2310.725658779081,7499613
2020-09-23,2294.4072265625,2343.1325410150116,2240.0563813519284,2333.9732325418595,7502280
2020-09-24,2168.68798828125,2278.1801141768947,2141.1174503600996,2278.1801141768947,8424708
2020-09-25,2252.423095703125,2268.8817416217576,2187.146297556975,2201.931132852591,8228267
2020-09-28,2256.142578125,2272.601224073958,2200.071397773725,2268.881745802151,4347166
2020-09-29,2313.887451171875,2334.9491340902982,2256.1426844910543,2264.093115075653,6995811
2020-09-30,2317.51416015625,2329.323459236412,2287.479325238153,2314.44554492592,3917166
2020-10-01,2346.479736328125,2361.869125839259,2317.5143849034753,2333.9730338017876,2610337
2020-10-05,2516.041259765625,2536.777397667112,2420.497156441034,2436.258401074731,17412105
